STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,count,identifier,centroid_y,centroid_x,meanmedian,area
17,31,842400,1400000US17031842400,17031842400,8424,CT,1968586,0,2,tract8424,41.74245231,-87.63002402,39652,1.9666
17,31,843700,1400000US17031843700,17031843700,8437,CT,1204810,62134,2,tract8437,41.94490893,-87.69083241,99821,1.2494
17,31,81000,1400000US17031081000,17031081000,810,CT,298827,0,1,tract810,41.90026675,-87.63210981,42077,0.2987
17,31,81401,1400000US17031081401,17031081401,814.01,CT,281787,0,1,tract814.01,41.89502697,-87.61980852,69722,0.275
17,31,271200,1400000US17031271200,17031271200,2712,CT,329809,0,1,tract2712,41.87736115,-87.70356468,23929,0.3294
17,31,500100,1400000US17031500100,17031500100,5001,CT,2652722,0,1,tract5001,41.71469077,-87.59505241,39348,2.6447
17,31,832900,1400000US17031832900,17031832900,8329,CT,401717,0,1,tract8329,41.87418672,-87.66188721,50521,0.4013
17,31,835200,1400000US17031835200,17031835200,8352,CT,988538,0,1,tract8352,41.79663921,-87.74527917,41136,0.99
17,31,835600,1400000US17031835600,17031835600,8356,CT,917505,0,1,tract8356,41.80184844,-87.63219804,23667,0.919
17,31,570100,1400000US17031570100,17031570100,5701,CT,1523744,0,1,tract5701,41.81619384,-87.71889956,53542,1.5208
17,31,830500,1400000US17031830500,17031830500,8305,CT,3827808,285801,1,tract8305,41.83006528,-87.72394985,41902,4.1099
17,31,836700,1400000US17031836700,17031836700,8367,CT,1227830,0,1,tract8367,41.89170022,-87.70216019,26319,1.2302
17,31,842200,1400000US17031842200,17031842200,8422,CT,1407940,136789,2,tract8422,41.9048992,-87.64977288,106250,1.538
17,31,980100,1400000US17031980100,17031980100,9801,CT,2981781,0,2,tract9801,41.78597128,-87.75089145,0,2.9842
17,31,320600,1400000US17031320600,17031320600,3206,CT,609069,549336,1,tract3206,41.87070693,-87.62227294,91681,0.592
17,31,351400,1400000US17031351400,17031351400,3514,CT,323957,0,1,tract3514,41.8273974,-87.62409434,10942,0.3244
17,31,411200,1400000US17031411200,17031411200,4112,CT,402991,0,1,tract4112,41.79054842,-87.59401972,82667,0.4033
17,31,450300,1400000US17031450300,17031450300,4503,CT,1366774,0,1,tract4503,41.74193571,-87.5790784,44254,1.3646
17,31,62000,1400000US17031062000,17031062000,620,CT,224977,0,1,tract620,41.94258346,-87.64709621,74615,0.224
17,31,62600,1400000US17031062600,17031062600,626,CT,330019,0,1,tract626,41.93598712,-87.67100626,117137,0.3331
17,31,63100,1400000US17031063100,17031063100,631,CT,159625,0,1,tract631,41.93822951,-87.64677993,91034,0.16
17,31,81300,1400000US17031081300,17031081300,813,CT,202656,0,1,tract813,41.89830953,-87.62089408,87258,0.1948
17,31,81600,1400000US17031081600,17031081600,816,CT,128842,3966,1,tract816,41.89210452,-87.62887518,87306,0.1325
17,31,130200,1400000US17031130200,17031130200,1302,CT,2075994,3028,1,tract1302,41.98083378,-87.73620349,76171,2.1213
17,31,161100,1400000US17031161100,17031161100,1611,CT,576831,0,1,tract1611,41.94988223,-87.73816423,99531,0.5779
17,31,833100,1400000US17031833100,17031833100,8331,CT,922800,0,1,tract8331,41.87907509,-87.65703884,120755,0.9219
